County,Fips,Topic,Subtopic,Year,Measure,Value,State Value,Number,"Crude Rate per 100,000",Crude Rate (per 500 pop.),Lower Limit,Upper Limit,People per License,Total Licenses,Type A Licenses,Type B Licenses,Type C Licenses,Type Unknown Licenses
Adams,55001,Alcohol,Hospitalizations,2006,"Crude Rate per 100,000",665.57,895.3,,665.57,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2006,Lower Limit,555.71,887.45,,,,555.71,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2006,Number,141,49937,141,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2006,Upper Limit,775.42,903.16,,,,,775.42,,,,,,
Adams,55001,Alcohol,Hospitalizations,2007,"Crude Rate per 100,000",642.84,910.91,,642.84,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2007,Lower Limit,534.8,903.01,,,,534.8,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2007,Number,136,51109,136,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2007,Upper Limit,750.89,918.81,,,,,750.89,,,,,,
Adams,55001,Alcohol,Hospitalizations,2008,"Crude Rate per 100,000",639.78,917.11,,639.78,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2008,Lower Limit,531.86,909.2,,,,531.86,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2008,Number,135,51734,135,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2008,Upper Limit,747.7,925.01,,,,,747.7,,,,,,
Adams,55001,Alcohol,Hospitalizations,2009,"Crude Rate per 100,000",659.34,883.1,,659.34,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2009,Lower Limit,549.33,875.36,,,,549.33,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2009,Number,138,50065,138,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2009,Upper Limit,769.35,890.83,,,,,769.35,,,,,,
Adams,55001,Alcohol,Hospitalizations,2010,"Crude Rate per 100,000",699.3,884.19,,699.3,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2010,Lower Limit,585.87,876.46,,,,585.87,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2010,Number,146,50315,146,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2010,Upper Limit,812.73,891.91,,,,,812.73,,,,,,
Adams,55001,Alcohol,Hospitalizations,2011,"Crude Rate per 100,000",558.58,855.44,,558.58,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2011,Lower Limit,456.93,847.85,,,,456.93,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2011,Number,116,48810,116,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2011,Upper Limit,660.23,863.03,,,,,660.23,,,,,,
Adams,55001,Alcohol,Hospitalizations,2012,"Crude Rate per 100,000",485.03,867.43,,485.03,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2012,Lower Limit,389.49,859.8,,,,389.49,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2012,Number,99,49624,99,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2012,Upper Limit,580.58,875.06,,,,,580.58,,,,,,
Adams,55001,Alcohol,Hospitalizations,2013,"Crude Rate per 100,000",465.53,829.33,,465.53,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2013,Lower Limit,371.91,821.88,,,,371.91,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2013,Number,95,47587,95,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2013,Upper Limit,559.14,836.78,,,,,559.14,,,,,,
Adams,55001,Alcohol,Hospitalizations,2014,"Crude Rate per 100,000",576.54,835.15,,576.54,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2014,Lower Limit,471.62,827.69,,,,471.62,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2014,Number,116,48048,116,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2014,Upper Limit,681.46,842.62,,,,,681.46,,,,,,
Adams,55001,Alcohol,Hospitalizations,2015,"Crude Rate per 100,000",639.14,829.42,,639.14,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2015,Lower Limit,528.41,821.99,,,,528.41,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2015,Number,128,47799,128,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2015,Upper Limit,749.86,836.86,,,,,749.86,,,,,,
Adams,55001,Alcohol,Hospitalizations,2016,"Crude Rate per 100,000",445.36,742.71,,445.36,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2016,Lower Limit,352.83,735.69,,,,352.83,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2016,Number,89,42893,89,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2016,Upper Limit,537.88,749.74,,,,,537.88,,,,,,
Adams,55001,Alcohol,Hospitalizations,2017,"Crude Rate per 100,000",552.62,750.99,,552.62,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2017,Lower Limit,449.35,743.93,,,,449.35,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2017,Number,110,43506,110,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2017,Upper Limit,655.9,758.05,,,,,655.9,,,,,,
Adams,55001,Alcohol,Hospitalizations,2018,"Crude Rate per 100,000",647.5,759.56,,647.5,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2018,Lower Limit,537.04,752.47,,,,537.04,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2018,Number,132,44125,132,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2018,Upper Limit,757.96,766.64,,,,,757.96,,,,,,
Adams,55001,Alcohol,Hospitalizations,2019,"Crude Rate per 100,000",503.26,761.96,,503.26,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2019,Lower Limit,405.59,754.87,,,,405.59,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2019,Number,102,44381,102,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2019,Upper Limit,600.92,769.05,,,,,600.92,,,,,,
Adams,55001,Alcohol,Hospitalizations,2020,"Crude Rate per 100,000",469.17,719.59,,469.17,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2020,Lower Limit,375.8,712.74,,,,375.8,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2020,Number,97,42429,97,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2020,Upper Limit,562.53,726.44,,,,,562.53,,,,,,
Adams,55001,Alcohol,Hospitalizations,2021,"Crude Rate per 100,000",437.61,727.15,,437.61,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2021,Lower Limit,347.69,720.25,,,,347.69,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2021,Number,91,42757,91,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2021,Upper Limit,527.52,734.04,,,,,527.52,,,,,,
Adams,55001,Alcohol,Hospitalizations,2022,"Crude Rate per 100,000",438.14,691.01,,438.14,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2022,Lower Limit,349.09,684.3,,,,349.09,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2022,Number,93,40718,93,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2022,Upper Limit,527.19,697.72,,,,,527.19,,,,,,
Adams,55001,Alcohol,Outlet Density,2010,Crude Rate (per 500 pop.),2.38,1.5,,,2.38,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2010,People per License,210.42,334.38,,,,,,210.42,,,,,
Adams,55001,Alcohol,Outlet Density,2010,Total Licenses,99,17041,,,,,,,99,,,,
Adams,55001,Alcohol,Outlet Density,2010,Type A,28,4057,,,,,,,,28,,,
Adams,55001,Alcohol,Outlet Density,2010,Type B,69,12372,,,,,,,,,69,,
Adams,55001,Alcohol,Outlet Density,2010,Type C,3,698,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2010,Type Unknown,3,733,,,,,,,,,,,3
Adams,55001,Alcohol,Outlet Density,2011,Crude Rate (per 500 pop.),2.43,1.49,,,2.43,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2011,People per License,206.02,335.3,,,,,,206.02,,,,,
Adams,55001,Alcohol,Outlet Density,2011,Total Licenses,100,17040,,,,,,,100,,,,
Adams,55001,Alcohol,Outlet Density,2011,Type A,29,3890,,,,,,,,29,,,
Adams,55001,Alcohol,Outlet Density,2011,Type B,70,11788,,,,,,,,,70,,
Adams,55001,Alcohol,Outlet Density,2011,Type C,3,696,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2011,Type Unknown,2,1533,,,,,,,,,,,2
Adams,55001,Alcohol,Outlet Density,2012,Crude Rate (per 500 pop.),2.35,1.49,,,2.35,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2012,People per License,212.73,336.2,,,,,,212.73,,,,,
Adams,55001,Alcohol,Outlet Density,2012,Total Licenses,96,17040,,,,,,,96,,,,
Adams,55001,Alcohol,Outlet Density,2012,Type A,27,4311,,,,,,,,27,,,
Adams,55001,Alcohol,Outlet Density,2012,Type B,72,12872,,,,,,,,,72,,
Adams,55001,Alcohol,Outlet Density,2012,Type C,6,741,,,,,,,,,,6,
Adams,55001,Alcohol,Outlet Density,2012,Type Unknown,0,97,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2013,Crude Rate (per 500 pop.),2.34,1.48,,,2.34,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2013,People per License,213.44,338.52,,,,,,213.44,,,,,
Adams,55001,Alcohol,Outlet Density,2013,Total Licenses,95,16968,,,,,,,95,,,,
Adams,55001,Alcohol,Outlet Density,2013,Type A,29,4382,,,,,,,,29,,,
Adams,55001,Alcohol,Outlet Density,2013,Type B,70,12842,,,,,,,,,70,,
Adams,55001,Alcohol,Outlet Density,2013,Type C,6,734,,,,,,,,,,6,
Adams,55001,Alcohol,Outlet Density,2013,Type Unknown,0,26,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2014,Crude Rate (per 500 pop.),2.44,1.47,,,2.44,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2014,People per License,204.93,340.6,,,,,,204.93,,,,,
Adams,55001,Alcohol,Outlet Density,2014,Total Licenses,98,16898,,,,,,,98,,,,
Adams,55001,Alcohol,Outlet Density,2014,Type A,18,4412,,,,,,,,18,,,
Adams,55001,Alcohol,Outlet Density,2014,Type B,81,12822,,,,,,,,,81,,
Adams,55001,Alcohol,Outlet Density,2014,Type C,3,743,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2014,Type Unknown,0,12,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2015,Crude Rate (per 500 pop.),2.42,1.47,,,2.42,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2015,People per License,206.34,340.24,,,,,,206.34,,,,,
Adams,55001,Alcohol,Outlet Density,2015,Total Licenses,97,16948,,,,,,,97,,,,
Adams,55001,Alcohol,Outlet Density,2015,Type A,17,4466,,,,,,,,17,,,
Adams,55001,Alcohol,Outlet Density,2015,Type B,82,12750,,,,,,,,,82,,
Adams,55001,Alcohol,Outlet Density,2015,Type C,3,853,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2015,Type Unknown,0,15,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2016,Crude Rate (per 500 pop.),2.45,1.47,,,2.45,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2016,People per License,203.93,340.01,,,,,,203.93,,,,,
Adams,55001,Alcohol,Outlet Density,2016,Total Licenses,98,17012,,,,,,,98,,,,
Adams,55001,Alcohol,Outlet Density,2016,Type A,17,4684,,,,,,,,17,,,
Adams,55001,Alcohol,Outlet Density,2016,Type B,83,12757,,,,,,,,,83,,
Adams,55001,Alcohol,Outlet Density,2016,Type C,2,908,,,,,,,,,,2,
Adams,55001,Alcohol,Outlet Density,2016,Type Unknown,0,8,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2017,Crude Rate (per 500 pop.),2.46,1.47,,,2.46,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2017,People per License,203.23,339.35,,,,,,203.23,,,,,
Adams,55001,Alcohol,Outlet Density,2017,Total Licenses,99,17100,,,,,,,99,,,,
Adams,55001,Alcohol,Outlet Density,2017,Type A,17,4866,,,,,,,,17,,,
Adams,55001,Alcohol,Outlet Density,2017,Type B,84,12882,,,,,,,,,84,,
Adams,55001,Alcohol,Outlet Density,2017,Type C,3,882,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2017,Type Unknown,0,5,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2018,Crude Rate (per 500 pop.),2.47,1.47,,,2.47,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2018,People per License,202.81,339.74,,,,,,202.81,,,,,
Adams,55001,Alcohol,Outlet Density,2018,Total Licenses,100,17116,,,,,,,100,,,,
Adams,55001,Alcohol,Outlet Density,2018,Type A,17,4954,,,,,,,,17,,,
Adams,55001,Alcohol,Outlet Density,2018,Type B,85,12899,,,,,,,,,85,,
Adams,55001,Alcohol,Outlet Density,2018,Type C,3,914,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2018,Type Unknown,0,9,,,,,,,,,,,0
Adams,55001,Alcohol,Outlet Density,2019,Crude Rate (per 500 pop.),2.33,1.47,,,2.33,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2019,People per License,214.56,341.13,,,,,,214.56,,,,,
Adams,55001,Alcohol,Outlet Density,2019,Total Licenses,95,17086,,,,,,,95,,,,
Adams,55001,Alcohol,Outlet Density,2019,Type A,16,4665,,,,,,,,16,,,
Adams,55001,Alcohol,Outlet Density,2019,Type B,77,12099,,,,,,,,,77,,
Adams,55001,Alcohol,Outlet Density,2019,Type C,3,862,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2019,Type Unknown,5,965,,,,,,,,,,,5
Adams,55001,Alcohol,Outlet Density,2020,Crude Rate (per 500 pop.),2.37,1.45,,,2.37,,,,,,,,
Adams,55001,Alcohol,Outlet Density,2020,People per License,211.09,345.04,,,,,,211.09,,,,,
Adams,55001,Alcohol,Outlet Density,2020,Total Licenses,98,16996,,,,,,,98,,,,
Adams,55001,Alcohol,Outlet Density,2020,Type A,16,4508,,,,,,,,16,,,
Adams,55001,Alcohol,Outlet Density,2020,Type B,72,11381,,,,,,,,,72,,
Adams,55001,Alcohol,Outlet Density,2020,Type C,3,778,,,,,,,,,,3,
Adams,55001,Alcohol,Outlet Density,2020,Type Unknown,13,1757,,,,,,,,,,,13
Ashland,55003,Alcohol,Hospitalizations,2000,"Crude Rate per 100,000",1551.45,827.88,,1551.45,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2000,Lower Limit,1363.22,820.18,,,,1363.22,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2000,Number,261,44490,261,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2000,Upper Limit,1739.67,835.57,,,,,1739.67,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2001,"Crude Rate per 100,000",1454.72,843.3,,1454.72,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2001,Lower Limit,1272.19,835.56,,,,1272.19,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2001,Number,244,45596,244,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2001,Upper Limit,1637.25,851.04,,,,,1637.25,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2002,"Crude Rate per 100,000",1815.25,840.84,,1815.25,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2002,Lower Limit,1611.19,833.14,,,,1611.19,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2002,Number,304,45785,304,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2002,Upper Limit,2019.31,848.54,,,,,2019.31,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2003,"Crude Rate per 100,000",1754.07,831.54,,1754.07,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2003,Lower Limit,1552.88,823.91,,,,1552.88,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2003,Number,292,45562,292,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2003,Upper Limit,1955.26,839.18,,,,,1955.26,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2004,"Crude Rate per 100,000",1686.11,860.64,,1686.11,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2004,Lower Limit,1488.25,852.9,,,,1488.25,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2004,Number,279,47456,279,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2004,Upper Limit,1883.96,868.38,,,,,1883.96,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2005,"Crude Rate per 100,000",1761.44,877.78,,1761.44,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2005,Lower Limit,1558.36,869.98,,,,1558.36,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2005,Number,289,48683,289,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2005,Upper Limit,1964.53,885.57,,,,,1964.53,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2006,"Crude Rate per 100,000",1736.96,895.3,,1736.96,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2006,Lower Limit,1535.3,887.45,,,,1535.3,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2006,Number,285,49937,285,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2006,Upper Limit,1938.62,903.16,,,,,1938.62,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2007,"Crude Rate per 100,000",1438.36,910.91,,1438.36,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2007,Lower Limit,1253.67,903.01,,,,1253.67,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2007,Number,233,51109,233,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2007,Upper Limit,1623.05,918.81,,,,,1623.05,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2008,"Crude Rate per 100,000",1728.09,917.11,,1728.09,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2008,Lower Limit,1525.31,909.2,,,,1525.31,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2008,Number,279,51734,279,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2008,Upper Limit,1930.87,925.01,,,,,1930.87,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2009,"Crude Rate per 100,000",1593.5,883.1,,1593.5,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2009,Lower Limit,1398.68,875.36,,,,1398.68,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2009,Number,257,50065,257,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2009,Upper Limit,1788.33,890.83,,,,,1788.33,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2010,"Crude Rate per 100,000",1833.73,884.19,,1833.73,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2010,Lower Limit,1624.82,876.46,,,,1624.82,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2010,Number,296,50315,296,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2010,Upper Limit,2042.63,891.91,,,,,2042.63,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2011,"Crude Rate per 100,000",1647.43,855.44,,1647.43,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2011,Lower Limit,1448.7,847.85,,,,1448.7,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2011,Number,264,48810,264,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2011,Upper Limit,1846.15,863.03,,,,,1846.15,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2012,"Crude Rate per 100,000",1724.03,867.43,,1724.03,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2012,Lower Limit,1519.52,859.8,,,,1519.52,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2012,Number,273,49624,273,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2012,Upper Limit,1928.54,875.06,,,,,1928.54,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2013,"Crude Rate per 100,000",1734.72,829.33,,1734.72,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2013,Lower Limit,1530.43,821.88,,,,1530.43,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2013,Number,277,47587,277,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2013,Upper Limit,1939.01,836.78,,,,,1939.01,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2014,"Crude Rate per 100,000",1525.38,835.15,,1525.38,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2014,Lower Limit,1333.98,827.69,,,,1333.98,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2014,Number,244,48048,244,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2014,Upper Limit,1716.78,842.62,,,,,1716.78,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2015,"Crude Rate per 100,000",1511.89,829.42,,1511.89,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2015,Lower Limit,1320.21,821.99,,,,1320.21,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2015,Number,239,47799,239,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2015,Upper Limit,1703.57,836.86,,,,,1703.57,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2016,"Crude Rate per 100,000",1432.5,742.71,,1432.5,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2016,Lower Limit,1244.9,735.69,,,,1244.9,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2016,Number,224,42893,224,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2016,Upper Limit,1620.1,749.74,,,,,1620.1,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2017,"Crude Rate per 100,000",1438.06,750.99,,1438.06,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2017,Lower Limit,1249.31,743.93,,,,1249.31,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2017,Number,223,43506,223,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2017,Upper Limit,1626.81,758.05,,,,,1626.81,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2018,"Crude Rate per 100,000",1510.96,759.56,,1510.96,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2018,Lower Limit,1317.78,752.47,,,,1317.78,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2018,Number,235,44125,235,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2018,Upper Limit,1704.15,766.64,,,,,1704.15,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2019,"Crude Rate per 100,000",1644.52,761.96,,1644.52,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2019,Lower Limit,1442.68,754.87,,,,1442.68,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2019,Number,255,44381,255,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2019,Upper Limit,1846.37,769.05,,,,,1846.37,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2020,"Crude Rate per 100,000",1479.59,719.59,,1479.59,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2020,Lower Limit,1291.21,712.74,,,,1291.21,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2020,Number,237,42429,237,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2020,Upper Limit,1667.96,726.44,,,,,1667.96,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2021,"Crude Rate per 100,000",1538.56,727.15,,1538.56,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2021,Lower Limit,1346.68,720.25,,,,1346.68,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2021,Number,247,42757,247,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2021,Upper Limit,1730.43,734.04,,,,,1730.43,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2022,"Crude Rate per 100,000",1240.73,691.01,,1240.73,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2022,Lower Limit,1068.34,684.3,,,,1068.34,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2022,Number,199,40718,199,,,,,,,,,,
Ashland,55003,Alcohol,Hospitalizations,2022,Upper Limit,1413.11,697.72,,,,,1413.11,,,,,,
Ashland,55003,Alcohol,Outlet Density,2010,Crude Rate (per 500 pop.),3.54,1.5,,,3.54,,,,,,,,
Ashland,55003,Alcohol,Outlet Density,2010,People per License,141.09,334.38,,,,,,141.09,,,,,
Ashland,55003,Alcohol,Outlet Density,2010,Total Licenses,114,17041,,,,,,,114,,,,
Ashland,55003,Alcohol,Outlet Density,2010,Type A,22,4057,,,,,,,,22,,,
